Timestamp,Sensor1
09:40:52,-4.91
09:40:52,-4.23
09:40:52,-2.84
09:40:52,-1.46
09:40:52,-0.11
09:40:52,1.17
09:40:52,2.35
09:40:52,3.41
09:40:52,4.34
09:40:53,5.13
09:40:53,5.77
09:40:53,6.27
09:40:53,6.47
09:40:53,6.77
09:40:53,6.98
09:40:53,7.11
09:40:53,7.20
09:40:53,7.26
09:40:53,7.32
09:40:54,7.38
09:40:54,7.46
09:40:54,7.57
09:40:54,7.72
09:40:54,7.90
09:40:54,8.00
09:40:54,8.23
09:40:54,8.46
09:40:54,8.67
09:40:54,8.83
09:40:55,8.88
09:40:55,8.77
09:40:55,8.48
09:40:55,7.94
09:40:55,7.58
09:40:55,6.64
09:40:55,5.42
09:40:55,3.94
09:40:55,2.21
09:40:55,0.29
09:40:56,-1.77
09:40:56,-3.93
09:40:56,-6.14
09:40:56,-8.32
09:40:56,-10.42
09:40:56,-12.39
09:40:56,-13.31
09:40:56,-14.97
09:40:56,-16.36
09:40:56,-17.43
09:40:57,-18.17
09:40:57,-18.55
09:40:57,-18.56
09:40:57,-18.21
09:40:57,-17.51
09:40:57,-16.50
09:40:57,-15.89
09:40:57,-14.47
09:40:57,-12.86
09:40:57,-11.09
09:40:58,-9.22
09:40:58,-7.30
09:40:58,-5.39
09:40:58,-3.54
09:40:58,-1.77
09:40:58,-0.13
09:40:58,1.38
09:40:58,2.72
09:40:58,3.90
09:40:58,4.91
09:40:59,5.76
09:40:59,6.46
09:40:59,7.02
09:40:59,7.25
09:40:59,7.63
09:40:59,7.92
09:40:59,8.12
09:40:59,8.26
09:40:59,8.33
09:40:59,8.36
09:41:00,8.34
09:41:00,8.28
09:41:00,8.24
09:41:00,8.13
09:41:00,7.99
09:41:00,7.83
09:41:00,7.66
09:41:00,7.49
09:41:00,7.31
09:41:00,7.15
09:41:01,7.01
09:41:01,6.89
09:41:01,6.80
09:41:01,6.73
09:41:01,6.69
09:41:01,6.63
09:41:01,6.55
09:41:01,6.41
09:41:01,6.15
09:41:01,5.72
09:41:02,5.43
09:41:02,4.69
09:41:02,3.72
09:41:02,2.52
09:41:02,1.11
09:41:02,-0.49
09:41:02,-2.23
09:41:02,-4.02
09:41:02,-5.80
09:41:02,-6.65
09:41:03,-8.24
09:41:03,-9.60
